"","word","Life and Times (1881)","My Bondage (1855)","Narrative Life (1845)","Travel Diary","sum_word_counts"
"10933","wearied",1,0,1,0,2
"10934","weavers",1,1,0,0,2
"10935","weaving",0,1,1,0,2
"10936","weep",1,1,0,0,2
"10937","weightier",0,0,2,0,2
"10938","weighty",1,1,0,0,2
"10939","weird",2,0,0,0,2
"10940","wentat",2,0,0,0,2
"10941","werein",2,0,0,0,2
"10942","werenow",2,0,0,0,2
"10943","werethe",2,0,0,0,2
"10944","wesaw",2,0,0,0,2
"10945","weshall",2,0,0,0,2
"10946","westerly",1,1,0,0,2
"10947","westminster",1,1,0,0,2
"10948","wetted",1,1,0,0,2
"10949","whatdo",2,0,0,0,2
"10950","whatever",0,0,0,2,2
"10951","whatto",2,0,0,0,2
"10952","whenin",2,0,0,0,2
"10953","whenthey",2,0,0,0,2
"10954","whenthis",2,0,0,0,2
"10955","wherefore",0,2,0,0,2
"10956","whereit",2,0,0,0,2
"10957","wherewith",0,2,0,0,2
"10958","whichat",2,0,0,0,2
"10959","whichcould",2,0,0,0,2
"10960","whichit",2,0,0,0,2
"10961","whichpromise",2,0,0,0,2
"10962","whichshould",2,0,0,0,2
"10963","whichthe",2,0,0,0,2
"10964","whichthey",2,0,0,0,2
"10965","whigs",2,0,0,0,2
"10966","whirl",0,1,1,0,2
"10967","whirled",1,1,0,0,2
"10968","whirling",0,1,0,1,2
"10969","whiskey",2,0,0,0,2
"10970","whistling",1,1,0,0,2
"10971","whiteness",0,1,0,1,2
"10972","whitewash",1,1,0,0,2
"10973","whohas",2,0,0,0,2
"10974","wholecountry",2,0,0,0,2
"10975","whomhe",2,0,0,0,2
"10976","whomi",2,0,0,0,2
"10977","wider",1,1,0,0,2
"10978","widespread",2,0,0,0,2
"10979","widest",0,0,2,0,2
"10980","widows",1,0,1,0,2
"10981","wife’s",0,1,1,0,2
"10982","wilberforce",2,0,0,0,2
"10983","wilk",0,1,1,0,2
"10984","willbe",2,0,0,0,2
"10985","willed",1,1,0,0,2
"10986","williams",2,0,0,0,2
"10987","willow",1,1,0,0,2
"10988","willows",1,1,0,0,2
"10989","wills",2,0,0,0,2
"10990","windmill",0,2,0,0,2
"10991","windowless",1,1,0,0,2
"10992","wines",1,1,0,0,2
"10993","wipe",1,0,1,0,2
"10994","wish",0,0,0,2,2
"10995","withhis",2,0,0,0,2
"10996","withoutany",2,0,0,0,2
"10997","withslaves",2,0,0,0,2
"10998","withsome",2,0,0,0,2
"10999","won’t_",1,1,0,0,2
"11000","wooing",1,1,0,0,2
"11001","wordsof",2,0,0,0,2
"11002","work_",1,1,0,0,2
"11003","working",0,0,0,2,2
"11004","workings",2,0,0,0,2
"11005","workshops",2,0,0,0,2
"11006","worldly",1,1,0,0,2
"11007","worried",1,1,0,0,2
"11008","worshiped",1,1,0,0,2
"11009","worshiper",1,1,0,0,2
"11010","worshippers",0,0,0,2,2
"11011","worsted",1,1,0,0,2
"11012","wouldemancipate",2,0,0,0,2
"11013","wouldemploy",2,0,0,0,2
"11014","wrapt",1,1,0,0,2
"11015","wreak",1,1,0,0,2
"11016","wrecked",1,1,0,0,2
"11017","wrench",1,1,0,0,2
"11018","wrested",0,2,0,0,2
"11019","wrestle",1,1,0,0,2
"11020","wrightson",1,1,0,0,2
"11021","wringing",1,1,0,0,2
"11022","writer",1,0,1,0,2
"11023","writers",1,1,0,0,2
"11024","wronged",1,1,0,0,2
"11025","xii",0,2,0,0,2
"11026","xiii",0,2,0,0,2
"11027","xiv",0,2,0,0,2
"11028","xix",0,2,0,0,2
"11029","xv",0,2,0,0,2
"11030","xvii",0,2,0,0,2
"11031","xx",0,2,0,0,2
"11032","xxi",0,2,0,0,2
"11033","xxii",0,2,0,0,2
"11034","xxiii",0,2,0,0,2
"11035","xxiv",0,2,0,0,2
"11036","xxv",0,2,0,0,2
"11037","yankee",0,1,0,1,2
"11038","yarn",1,1,0,0,2
"11039","yearling",1,1,0,0,2
"11040","yearsago",2,0,0,0,2
"11041","yelling",1,1,0,0,2
"11042","you_",1,1,0,0,2
"11043","youngchildren",2,0,0,0,2
"11044","youngman",2,0,0,0,2
"11045","鎑",2,0,0,0,2
"11046"," la",0,0,0,1,1
"11047"," ptly",0,0,0,1,1
"11048"," rue",0,0,0,1,1
"11049"," tuesday",0,0,0,1,1
"11050","_à",1,0,0,0,1
"11051","_a_",0,1,0,0,1
"11052","_abolition",0,0,1,0,1
"11053","_abolition_",0,0,1,0,1
"11054","_abolitionist",0,0,1,0,1
"11055","_abolitionists",0,1,0,0,1
"11056","_abolitionists_",1,0,0,0,1
"11057","_abroad_",0,1,0,0,1
"11058","_aggressive_",0,1,0,0,1
"11059","_allowances_",1,0,0,0,1
"11060","_always",0,0,1,0,1
"11061","_angel_",0,1,0,0,1
"11062","_answer_",0,1,0,0,1
"11063","_anxious_",1,0,0,0,1
"11064","_appearance_",0,1,0,0,1
"11065","_april_",0,0,1,0,1
"11066","_are",1,0,0,0,1
"11067","_aside_",1,0,0,0,1
"11068","_augustus",0,1,0,0,1
"11069","_bagged_",1,0,0,0,1
"11070","_bags_",1,0,0,0,1
"11071","_bailey_",0,0,1,0,1
"11072","_baltimore",0,1,0,0,1
"11073","_band",1,0,0,0,1
"11074","_be",1,0,0,0,1
"11075","_bible_",0,1,0,0,1
"11076","_bondage_",0,1,0,0,1
"11077","_born_",0,1,0,0,1
"11078","_box",0,1,0,0,1
"11079","_brandy_",0,1,0,0,1
"11080","_breaking_",1,0,0,0,1
"11081","_brevard’s",0,1,0,0,1
"11082","_bribe_",0,1,0,0,1
"11083","_british",0,1,0,0,1
"11084","_brute_",0,1,0,0,1
"11085","_but",0,0,1,0,1
"11086","_by",0,1,0,0,1
"11087","_candles_",1,0,0,0,1
"11088","_cannot",0,1,0,0,1
"11089","_capt",0,1,0,0,1
"11090","_caste_",0,1,0,0,1
"11091","_charles",0,0,1,0,1
"11092","_chattel_",0,1,0,0,1
"11093","_child_",0,1,0,0,1
"11094","_children_",0,1,0,0,1
"11095","_chronicle_",1,0,0,0,1
"11096","_colored_",0,1,0,0,1
"11097","_come",1,0,0,0,1
"11098","_could_",0,1,0,0,1
"11099","_cripple",0,1,0,0,1
"11100","_cue_",1,0,0,0,1
"11101","_daniel",0,0,1,0,1
"11102","_dare_",0,1,0,0,1
"11103","_darg_",0,0,1,0,1
"11104","_day_",0,1,0,0,1
"11105","_death",0,1,0,0,1
"11106","_degradation_",1,0,0,0,1
"11107","_demigod_",0,1,0,0,1
"11108","_desideratum",0,1,0,0,1
"11109","_desideratum_",0,1,0,0,1
"11110","_devil_",0,1,0,0,1
"11111","_did",1,0,0,0,1
"11112","_dissolve",1,0,0,0,1
"11113","_divination_",1,0,0,0,1
"11114","_doctors",0,1,0,0,1
"11115","_doctors_",1,0,0,0,1
"11116","_does_",0,1,0,0,1
"11117","_doubtful_",0,1,0,0,1
"11118","_douglass_",0,0,1,0,1
"11119","_dred",1,0,0,0,1
"11120","_editors_",1,0,0,0,1
"11121","_elevator_",1,0,0,0,1
"11122","_ell",0,0,1,0,1
"11123","_enemies_",0,1,0,0,1
"11124","_esther_",0,1,0,0,1
"11125","_etiquette_",0,1,0,0,1
"11126","_evangelist_",1,0,0,0,1
"11127","_even",0,1,0,0,1
"11128","_evening",1,0,0,0,1
"11129","_everything",0,1,0,0,1
"11130","_exceptions_",0,1,0,0,1
"11131","_executive",1,0,0,0,1
"11132","_faith_in",1,0,0,0,1
"11133","_fear_",0,1,0,0,1
"11134","_fellow",1,0,0,0,1
"11135","_fetiche_",0,1,0,0,1
"11136","_firstling_",0,1,0,0,1
"11137","_foggable_",0,1,0,0,1
"11138","_forever_",0,1,0,0,1
"11139","_forte_",0,0,1,0,1
"11140","_freedom’s",0,1,0,0,1
"11141","_freeman",0,1,0,0,1
"11142","_freemen_",1,0,0,0,1
"11143","_friendless_",0,1,0,0,1
"11144","_fugitive",1,0,0,0,1
"11145","_future_",0,1,0,0,1
"11146","_genius",0,1,0,0,1
"11147","_god",1,0,0,0,1
"11148","_god_",0,1,0,0,1
"11149","_gold",0,1,0,0,1
"11150","_gore",0,1,0,0,1
"11151","_got",0,1,0,0,1
"11152","_have",0,1,0,0,1
"11153","_he",0,1,0,0,1
"11154","_held",0,1,0,0,1
"11155","_hell_",0,1,0,0,1
"11156","_her_",0,1,0,0,1
"11157","_herald",1,0,0,0,1
"11158","_here_",1,0,0,0,1
"11159","_hickory",0,1,0,0,1
"11160","_hide_",0,0,1,0,1
"11161","_his_turn",1,0,0,0,1
"11162","_home",1,0,0,0,1
"11163","_home_",0,1,0,0,1
"11164","_honest_",0,1,0,0,1
"11165","_human_",0,1,0,0,1
"11166","_idols_",0,1,0,0,1
"11167","_if_it",1,0,0,0,1
"11168","_ignorance_",1,0,0,0,1
"11169","_imparted_",0,1,0,0,1
"11170","_impossible_",0,1,0,0,1
"11171","_in_",1,0,0,0,1
"11172","_inch",0,0,1,0,1
"11173","_indelible_",0,1,0,0,1
"11174","_independent_",1,0,0,0,1
"11175","_indirection_",0,1,0,0,1
"11176","_institution_",0,1,0,0,1
"11177","_intellectual_",0,1,0,0,1
"11178","_is_",0,1,0,0,1
"11179","_it",0,0,1,0,1
"11180","_itis",1,0,0,0,1
"11181","_jim",0,1,0,0,1
"11182","_johnson_",0,0,1,0,1
"11183","_july_",0,1,0,0,1
"11184","_keep",0,1,0,0,1
"11185","_kept_",0,1,0,0,1
"11186","_kill_",0,1,0,0,1
"11187","_kind",0,1,0,0,1
"11188","_kindness_",0,1,0,0,1
"11189","_knew_",0,1,0,0,1
"11190","_know_",1,0,0,0,1
"11191","_laughed",0,1,0,0,1
"11192","_lawyers_",1,0,0,0,1
"11193","_legree_",1,0,0,0,1
"11194","_letter",1,0,0,0,1
"11195","_liberator_came",1,0,0,0,1
"11196","_london",0,1,0,0,1
"11197","_long",0,1,0,0,1
"11198","_lord_",1,0,0,0,1
"11199","_loudly_",0,1,0,0,1
"11200","_loved_",0,1,0,0,1
"11201","_low_",0,1,0,0,1
"11202","_luck_",0,1,0,0,1
"11203","_made_",0,1,0,0,1
"11204","_man",0,1,0,0,1
"11205","_mange_",0,1,0,0,1
"11206","_marriage",0,1,0,0,1
"11207","_maryland_",0,1,0,0,1
"11208","_mass",0,0,1,0,1
"11209","_master’s",0,1,0,0,1
"11210","_med",0,1,0,0,1
"11211","_melee_",0,1,0,0,1
"11212","_mêlee_by",1,0,0,0,1
"11213","_men",0,1,0,0,1
"11214","_merchants_",1,0,0,0,1
"11215","_ministers_",1,0,0,0,1
"11216","_mixed",0,1,0,0,1
"11217","_months",0,1,0,0,1
"11218","_more_",0,1,0,0,1
"11219","_most",0,1,0,0,1
"11220","_mostly_",0,1,0,0,1
"11221","_mother_",0,1,0,0,1
"11222","_motherless_",0,1,0,0,1
"11223","_mr.dixon_",1,0,0,0,1
"11224","_mrs",1,0,0,0,1
"11225","_mush_",0,0,1,0,1
"11226","_narrate_",0,1,0,0,1
"11227","_narrate_wrongs",1,0,0,0,1
"11228","_narrative",0,0,1,0,1
"11229","_ne",1,0,0,0,1
"11230","_nearly_",0,1,0,0,1
"11231","_negro",0,1,0,0,1
"11232","_newera_",1,0,0,0,1
"11233","_next_",0,1,0,0,1
"11234","_nibbles_",0,1,0,0,1
"11235","_nom",1,0,0,0,1
"11236","_none_",0,1,0,0,1
"11237","_north_",0,1,0,0,1
"11238","_notes",0,1,0,0,1
"11239","_nothing_",0,1,0,0,1
"11240","_nothing_before",1,0,0,0,1
"11241","_notice",1,0,0,0,1
"11242","_nowhere_",0,1,0,0,1
"11243","_o",0,1,0,0,1
"11244","_obtained",0,0,1,0,1
"11245","_others_",0,1,0,0,1
"11246","_our_",0,1,0,0,1
"11247","_own_",0,1,0,0,1
"11248","_ox",1,0,0,0,1
"11249","_par",0,1,0,0,1
"11250","_pass",0,1,0,0,1
"11251","_pecked_",0,0,1,0,1
"11252","_perhaps_",0,1,0,0,1
"11253","_persons_",0,1,0,0,1
"11254","_pig_",0,1,0,0,1
"11255","_place_",0,1,0,0,1
"11256","_play_",0,1,0,0,1
"11257","_poorest_",0,1,0,0,1
"11258","_possible",0,1,0,0,1
"11259","_possible_for",1,0,0,0,1
"11260","_possibly_",0,1,0,0,1
"11261","_poverty_",1,0,0,0,1
"11262","_power_",1,0,0,0,1
"11263","_practical_",0,1,0,0,1
"11264","_precisely_",0,1,0,0,1
"11265","_prejudice",1,0,0,0,1
"11266","_probation_",0,1,0,0,1
"11267","_question_",0,1,0,0,1
"11268","_rage_",0,1,0,0,1
"11269","_really_",0,1,0,0,1
"11270","_really_against",1,0,0,0,1
"11271","_received_",0,1,0,0,1
"11272","_religion_",0,1,0,0,1
"11273","_religious_",0,0,1,0,1
"11274","_removal_",0,1,0,0,1
"11275","_rencontres_",0,1,0,0,1
"11276","_rev",1,0,0,0,1
"11277","_reverend_",0,1,0,0,1
"11278","_review_",1,0,0,0,1
"11279","_rich_",1,0,0,0,1
"11280","_righteous_",0,1,0,0,1
"11281","_root",0,0,1,0,1
"11282","_roots_",1,0,0,0,1
"11283","_rum_",0,1,0,0,1
"11284","_run",0,1,0,0,1
"11285","_salt",0,1,0,0,1
"11286","_sandy",1,0,0,0,1
"11287","_save",1,0,0,0,1
"11288","_scheme",0,1,0,0,1
"11289","_seemed_",0,1,0,0,1
"11290","_seemings_",1,0,0,0,1
"11291","_shame_",0,1,0,0,1
"11292","_sheep_",0,0,1,0,1
"11293","_shooting",0,0,1,0,1
"11294","_shot",1,0,0,0,1
"11295","_silent",0,1,0,0,1
"11296","_slave",0,1,0,0,1
"11297","_slaveholding",0,0,1,0,1
"11298","_so",0,1,0,0,1
"11299","_some_",0,1,0,0,1
"11300","_somebody’s_",0,1,0,0,1
"11301","_south_",1,0,0,0,1
"11302","_speech",0,1,0,0,1
"11303","_spoil_",0,0,1,0,1
"11304","_standard",0,1,0,0,1
"11305","_star_",1,0,0,0,1
"11306","_starve",0,1,0,0,1
"11307","_starved",0,1,0,0,1
"11308","_starved_",1,0,0,0,1
"11309","_still",0,1,0,0,1
"11310","_strongly_",0,1,0,0,1
"11311","_stuffed_",0,1,0,0,1
"11312","_system_",1,0,0,0,1
"11313","_tar_",0,0,1,0,1
"11314","_that’s_",1,0,0,0,1
"11315","_their",0,1,0,0,1
"11316","_thing_",0,1,0,0,1
"11317","_things_",0,1,0,0,1
"11318","_this",1,0,0,0,1
"11319","_those",1,0,0,0,1
"11320","_time_",0,1,0,0,1
"11321","_tomahawk_",0,1,0,0,1
"11322","_too_",0,1,0,0,1
"11323","_took_",0,1,0,0,1
"11324","_tribune_",1,0,0,0,1
"11325","_trust",1,0,0,0,1
"11326","_tub_",0,1,0,0,1
"11327","_tuck",0,1,0,0,1
"11328","_tuckahoe_",0,1,0,0,1
"11329","_tuition",0,1,0,0,1
"11330","_two",1,0,0,0,1
"11331","_types",0,1,0,0,1
"11332","_un_friends",1,0,0,0,1
"11333","_un_like",1,0,0,0,1
"11334","_underground",0,0,1,0,1
"11335","_unsaintly_",0,1,0,0,1
"11336","_upon",0,0,1,0,1
"11337","_upperground",0,0,1,0,1
"11338","_vale",0,1,0,0,1
"11339","_voice_",0,1,0,0,1
"11340","_wailing",0,1,0,0,1
"11341","_was_",1,0,0,0,1
"11342","_welcome_",0,0,1,0,1
"11343","_went_",1,0,0,0,1
"11344","_what_the",1,0,0,0,1
"11345","_where",1,0,0,0,1
"11346","_where_",0,1,0,0,1
"11347","_whipped",0,1,0,0,1
"11348","_whisky",0,1,0,0,1
"11349","_with",0,0,1,0,1
"11350","_woldfolk_",0,1,0,0,1
"11351","_woman_",0,1,0,0,1
"11352","_work",0,1,0,0,1
"11353","_work_",0,1,0,0,1
"11354","_world’s_",1,0,0,0,1
"11355","_worse_",0,1,0,0,1
"11356","_written",1,0,0,0,1
"11357","_wrong_",0,1,0,0,1
"11358","_years",0,1,0,0,1
"11359","_yell_",1,0,0,0,1
"11360","_yes",1,0,0,0,1
"11361","_youlong",1,0,0,0,1
"11362","_yours_",0,1,0,0,1
"11363","1,000",1,0,0,0,1
"11364","1,400men",1,0,0,0,1
"11365","100",1,0,0,0,1
"11366","11th",0,0,1,0,1
"11367","13",1,0,0,0,1
"11368","148",0,1,0,0,1
"11369","150",1,0,0,0,1
"11370","16th",1,0,0,0,1
"11371","1776",0,0,1,0,1
"11372","1789",1,0,0,0,1
"11373","1793",1,0,0,0,1
"11374","1825that",1,0,0,0,1
"11375","1827",0,1,0,0,1
"11376","1828",1,0,0,0,1
"11377","1830to",1,0,0,0,1
"11378","1847till",1,0,0,0,1
"11379","1856to",1,0,0,0,1
"11380","1865",1,0,0,0,1
"11381","1879",1,0,0,0,1
"11382","1880",1,0,0,0,1
"11383","1895",0,0,1,0,1
"11384","19",1,0,0,0,1
"11385","1929",0,0,1,0,1
"11386","1992",0,0,1,0,1
"11387","2,000",1,0,0,0,1
"11388","20",0,0,1,0,1
"11389","21",1,0,0,0,1
"11390","22",0,0,1,0,1
"11391","25",0,0,1,0,1
"11392","3,000",1,0,0,0,1
"11393","30th",1,0,0,0,1
"11394","31",0,0,1,0,1
"11395","317",0,1,0,0,1
"11396","31st",1,0,0,0,1
"11397","339",0,1,0,0,1
"11398","4,000",1,0,0,0,1
"11399","413",1,0,0,0,1
"11400","46",0,1,0,0,1
"11401","50",1,0,0,0,1
"11402","52",0,1,0,0,1
"11403","54",0,1,0,0,1
"11404","54th’s",1,0,0,0,1
"11405","56",0,1,0,0,1
"11406","58",1,0,0,0,1
"11407","59",1,0,0,0,1
"11408","5colored",1,0,0,0,1
"11409","700",1,0,0,0,1
"11410","75,000",1,0,0,0,1
"11411","7o’clock",1,0,0,0,1
"11412","8,000,000",1,0,0,0,1
"11413","80per",1,0,0,0,1
"11414","a_bad_",1,0,0,0,1
"11415","a_future_",1,0,0,0,1
"11416","a.brownson",1,0,0,0,1
"11417","a.collins",1,0,0,0,1
"11418","a.douglas",1,0,0,0,1
"11419","abasement",1,0,0,0,1
"11420","abating",1,0,0,0,1
"11421","abbreviated",1,0,0,0,1
"11422","abbreviation",1,0,0,0,1
"11423","abe",1,0,0,0,1
"11424","abel’s",1,0,0,0,1
"11425","abetting",1,0,0,0,1
"11426","abettors",0,0,1,0,1
"11427","abhorring",0,1,0,0,1
"11428","abig",1,0,0,0,1
"11429","abilityto",1,0,0,0,1
"11430","abjectlysupplicating",1,0,0,0,1
"11431","ablanket",1,0,0,0,1
"11432","able’s",0,1,0,0,1
"11433","ableand",1,0,0,0,1
"11434","abler",0,1,0,0,1
"11435","ablution",0,1,0,0,1
"11436","aboard",0,1,0,0,1
"11437","abodes",0,1,0,0,1
"11438","abody",1,0,0,0,1
"11439","abolishedslavery",1,0,0,0,1
"11440","abolishthe",1,0,0,0,1
"11441","abolitionist.for",1,0,0,0,1
"11442","abolitionistin",1,0,0,0,1
"11443","abolitionistsbefore",1,0,0,0,1
"11444","abolitionst",0,1,0,0,1
"11445","abomination",1,0,0,0,1
"11446","abondage",1,0,0,0,1
"11447","abone",0,0,0,1,1
"11448","abook",1,0,0,0,1
"11449","abounded",0,0,1,0,1
"11450","abounds",0,0,0,1,1
"11451","about.but",1,0,0,0,1
"11452","aboutas",1,0,0,0,1
"11453","aboutfrom",1,0,0,0,1
"11454","aboutit",1,0,0,0,1
"11455","aboutslavery",1,0,0,0,1
"11456","aboutto",1,0,0,0,1
"11457","abrahamgarfield",1,0,0,0,1
"11458","abrahamlincoln.then",1,0,0,0,1
"11459","abrahamrodman",1,0,0,0,1
"11460","abram",1,0,0,0,1
"11461","abreast",1,0,0,0,1
"11462","abrick",1,0,0,0,1
"11463","abritish",1,0,0,0,1
"11464","abroad.eminent",1,0,0,0,1
"11465","abroad.while",1,0,0,0,1
"11466","abroadin",1,0,0,0,1
"11467","abruptly",0,0,0,1,1
"11468","absenceof",1,0,0,0,1
"11469","absenting",0,1,0,0,1
"11470","abstract",0,1,0,0,1
"11471","absurdity",1,0,0,0,1
"11472","absurdly",1,0,0,0,1
"11473","abundantlyable",1,0,0,0,1
"11474","abuseof",1,0,0,0,1
"11475","acareful",1,0,0,0,1
"11476","acceded",1,0,0,0,1
"11477","accelerated",0,1,0,0,1
"11478","accent",1,0,0,0,1
"11479","accents",1,0,0,0,1
"11480","acceptanceof",1,0,0,0,1
"11481","acceptingcontributions",1,0,0,0,1
"11482","accidentalslaveholder",1,0,0,0,1
"11483","acclimation",0,1,0,0,1
"11484","accomdation",0,0,0,1,1
"11485","accommodate",0,1,0,0,1
"11486","accommodating",0,1,0,0,1
"11487","accomodation",0,0,0,1,1
"11488","accompanygreen",1,0,0,0,1
"11489","accompanyingher",1,0,0,0,1
"11490","accomplice",1,0,0,0,1
"11491","accomplishes",0,1,0,0,1
"11492","accomplishthis",1,0,0,0,1
"11493","accomplishtwo",1,0,0,0,1
"11494","accorded",1,0,0,0,1
"11495","accords",0,1,0,0,1
"11496","accordwith",1,0,0,0,1
"11497","accountablebeings",1,0,0,0,1
"11498","accoustic",0,0,0,1,1
"11499","accredited",1,0,0,0,1
"11500","accrue",1,0,0,0,1
"11501","accumulate",1,0,0,0,1
"11502","accusationagainst",1,0,0,0,1
"11503","accuse",0,1,0,0,1
"11504","accusing",0,1,0,0,1
"11505","accustomedfrom",1,0,0,0,1
"11506","accustomedto",1,0,0,0,1
"11507","achieved",1,0,0,0,1
"11508","achristian",1,0,0,0,1
"11509","acircumstance",1,0,0,0,1
"11510","acknowledged",1,0,0,0,1
"11511","acknowledgedleader",1,0,0,0,1
"11512","acknowledgingthe",1,0,0,0,1
"11513","acknowledgment",0,1,0,0,1
"11514","acknowledgments",1,0,0,0,1
"11515","aclear",1,0,0,0,1
"11516","aclose",1,0,0,0,1
"11517","acompany",1,0,0,0,1
"11518","acondition",1,0,0,0,1
"11519","aconflagration.st",1,0,0,0,1
"11520","aconsciousness",1,0,0,0,1
"11521","aconstitution",1,0,0,0,1
"11522","acool",1,0,0,0,1
"11523","acordial",1,0,0,0,1
"11524","acorss",0,0,0,1,1
"11525","acountry",1,0,0,0,1
"11526","acourse",1,0,0,0,1
"11527","acquiring",1,0,0,0,1
"11528","acquisition",0,1,0,0,1
"11529","acquisition.if",1,0,0,0,1
"11530","acrack",1,0,0,0,1
"11531","acre",1,0,0,0,1
"11532","acropolis",0,0,0,1,1
"11533","across",0,0,0,1,1
"11534","act.seated",1,0,0,0,1
"11535","actedin",1,0,0,0,1
"11536","action.his",1,0,0,0,1
"11537","actively",1,0,0,0,1
"11538","actof",1,0,0,0,1
"11539","acumen",0,1,0,0,1
"11540","acutely",0,1,0,0,1
"11541","ada",0,0,0,1,1
"11542","adam",1,0,0,0,1
"11543","adaptation",1,0,0,0,1
"11544","addanother",1,0,0,0,1
"11545","addicted",0,0,1,0,1
"11546","additionto",1,0,0,0,1
"11547","addressedan",1,0,0,0,1
"11548","addressedas",1,0,0,0,1
"11549","addressesmade",1,0,0,0,1
"11550","addressesnot",1,0,0,0,1
"11551","addresshim",1,0,0,0,1
"11552","addressit",1,0,0,0,1
"11553","addressto",1,0,0,0,1
"11554","addresswhich",1,0,0,0,1
"11555","adduce",1,0,0,0,1
"11556","adecade",1,0,0,0,1
"11557","adeclaration",1,0,0,0,1
"11558","adelegate",1,0,0,0,1
"11559","adelicate",1,0,0,0,1
"11560","adelphic",0,0,0,1,1
"11561","adeptness",1,0,0,0,1
"11562","adequately",0,1,0,0,1
"11563","adherents",0,1,0,0,1
"11564","adhesion",1,0,0,0,1
"11565","adifferent",1,0,0,0,1
"11566","adirondacks",1,0,0,0,1
"11567","adistinguished",1,0,0,0,1
"11568","adjourned",1,0,0,0,1
"11569","adjudge",1,0,0,0,1
"11570","adjusted",0,1,0,0,1
"11571","adjustment",1,0,0,0,1
"11572","administering",0,1,0,0,1
"11573","admiration.when",1,0,0,0,1
"11574","admire",0,1,0,0,1
"11575","admirers",1,0,0,0,1
"11576","admitmy",1,0,0,0,1
"11577","admits",0,1,0,0,1
"11578","admittedardor",1,0,0,0,1
"11579","admittedon",1,0,0,0,1
"11580","admonition",0,1,0,0,1
"11581","admonitions",0,1,0,0,1
"11582","adomain",1,0,0,0,1
"11583","adopted.owing",1,0,0,0,1
"11584","adoptedcitizens",1,0,0,0,1
"11585","adoptedin",1,0,0,0,1
"11586","adoptthe",1,0,0,0,1
"11587","adore",0,0,0,1,1
"11588","adorning",0,1,0,0,1
"11589","adornment",0,1,0,0,1
"11590","adorns",1,0,0,0,1
"11591","adozen",1,0,0,0,1
"11592","adraft",1,0,0,0,1
"11593","adrove",1,0,0,0,1
"11594","adult",0,1,0,0,1
"11595","adulterer",0,0,1,0,1
"11596","advance_",0,1,0,0,1
"11597","advanceof",1,0,0,0,1
"11598","advantageof",1,0,0,0,1
"11599","advantageover",1,0,0,0,1
"11600","advantges",0,1,0,0,1
"11601","advent",0,1,0,0,1
"11602","adventurer",1,0,0,0,1
"11603","adversely",1,0,0,0,1
"11604","advertisement",0,1,0,0,1
"11605","advertising",0,1,0,0,1
"11606","advicevery",1,0,0,0,1
"11607","advise",1,0,0,0,1
"11608","advisers",1,0,0,0,1
"11609","advising",0,1,0,0,1
"11610","advisor",0,1,0,0,1
"11611","advocatedthem",1,0,0,0,1
"11612","advocateof",1,0,0,0,1
"11613","advocatesof",1,0,0,0,1
"11614","advocating",1,0,0,0,1
"11615","afailure",1,0,0,0,1
"11616","afather",1,0,0,0,1
"11617","afavorite",1,0,0,0,1
"11618","affable",1,0,0,0,1
"11619","affairs.this",1,0,0,0,1
"11620","affectation",1,0,0,0,1
"11621","affectedby",1,0,0,0,1
"11622","affection.amanda",1,0,0,0,1
"11623","affidavits",1,0,0,0,1
"11624","affirmative",0,1,0,0,1
"11625","affirmatively",0,1,0,0,1
"11626","afflict",1,0,0,0,1
"11627","affliction",0,1,0,0,1
"11628","affluence",0,1,0,0,1
"11629","affording",0,1,0,0,1
"11630","affordinga",1,0,0,0,1
"11631","affright",1,0,0,0,1
"11632","affrighted",0,1,0,0,1
"11633","afixed",1,0,0,0,1
"11634","afloat",0,0,0,1,1
"11635","aforeign",1,0,0,0,1
"11636","aforethought",0,1,0,0,1
"11637","afreeman",1,0,0,0,1
"11638","africa.there",1,0,0,0,1
"11639","africa.this",1,0,0,0,1
"11640","african.among",1,0,0,0,1
"11641","africanize",1,0,0,0,1
"11642","after1840",1,0,0,0,1
"11643","aftera",1,0,0,0,1
"11644","afterall",1,0,0,0,1
"11645","aftercol",1,0,0,0,1
"11646","afterleaving",1,0,0,0,1
"11647","afternight",1,0,0,0,1
"11648","afternoons",0,0,1,0,1
"11649","afterpamphlet",1,0,0,0,1
"11650","afterthis",1,0,0,0,1
"11651","afugitive",1,0,0,0,1
"11652","afurious",1,0,0,0,1
"11653","again.while",1,0,0,0,1
"11654","againcalled",1,0,0,0,1
"11655","againcongratulate",1,0,0,0,1
"11656","againon",1,0,0,0,1
"11657","againsta",1,0,0,0,1
"11658","againstannexation",1,0,0,0,1
"11659","againstevery",1,0,0,0,1
"11660","againstgod",1,0,0,0,1
"11661","againsthim",1,0,0,0,1
"11662","againsthuman",1,0,0,0,1
"11663","againstit",1,0,0,0,1
"11664","againstjohn",1,0,0,0,1
"11665","againstmy",1,0,0,0,1
"11666","againstone",1,0,0,0,1
"11667","againstthat",1,0,0,0,1
"11668","againstthe",1,0,0,0,1
"11669","againstus",1,0,0,0,1
"11670","againstwould",1,0,0,0,1
"11671","againto",1,0,0,0,1
"11672","againwithin",1,0,0,0,1
"11673","agardener",1,0,0,0,1
"11674","ageneral",1,0,0,0,1
"11675","agentleman",1,0,0,0,1
"11676","agentshad",1,0,0,0,1
"11677","agentsin",1,0,0,0,1
"11678","ages.there",1,0,0,0,1
"11679","agesof",1,0,0,0,1
